Peak_Height,Peak_Potential,Area_Under_Curve,Mean_Current,Std_Current,Skew_Current,Concentration
24.76239,0.37983,12.06130367735,17.368088405797103,6.031880502774557,-0.3793807935148733,5
25.51489,0.09402,12.230044806650001,17.592240434782603,5.398653320417438,-0.23949341996454054,10
26.69088,0.09402,12.8540330612,18.483416666666667,5.248784405598306,-0.1096534752011861,15
27.32788,0.09402,13.151310634849999,18.911175797101446,5.32850433718738,-0.08777936005640566,20
28.36387,0.09402,13.471937153299999,19.374340434782606,5.680914088177297,-0.09102418560752272,25
29.26687,0.09402,14.18349730795,20.40323434782609,5.995344170054567,-0.23051287645474572,30
30.44286,0.09402,14.776476173450003,21.249367971014493,5.890430413337578,-0.12077857219283995,35
31.70986,0.09402,14.9849256004,21.550367246376815,6.558460721494633,-0.13200102747669715,40
33.00485,0.09402,14.8118847824,21.289896956521737,7.208350664481053,0.003174520816875705,45
34.05484,0.09402,15.5637036608,22.368906376811598,7.081374661686972,0.042997974317446716,50
34.91584,0.09402,15.774828835,22.67289768115942,7.41326353736609,0.04584158303214187,55
36.09184,0.09402,16.2711197541,23.385170289855076,7.592410207617167,0.07743338534780242,60
37.01583,0.09402,16.79557855805,24.137210724637683,7.5423533370301445,0.12936731626175457,65
38.05183,0.08381,16.408223662999998,23.584872318840578,8.777756924413806,0.06599703980407266,70
39.73182,0.09402,17.2839599963,24.839845072463767,8.770123770216339,0.13654952858641348,75
40.44582,0.08381,17.03939981505,24.489288405797108,9.549456726769948,0.12675520628822995,80
43.6378,0.09402,18.647996446900006,26.781270289855076,9.402142742473337,0.3064902824777496,85
46.12979,0.09402,18.853281675500007,27.070400289855073,10.61974182012707,0.33392278543806037,90
49.23778,0.09402,19.78041824905,28.37685739130435,11.947319095220712,0.2886742431484666,95
49.97978,0.09402,19.941294328699996,28.606842173913048,12.269669552701282,0.2892910593324803,100
51.72977,0.09402,20.315851562500004,29.141173333333334,13.227977502143577,0.26924707689676836,105
52.62576,0.08381,20.520871926099993,29.42786782608696,12.892908321342654,0.4721428132582434,110
53.73176,0.06339,20.80846927125,29.839242898550726,13.322022987591785,0.4692126251074208,115
54.82376,0.06339,21.016003320000003,30.13643724637681,13.77864666165484,0.4618647873355973,120
56.53174,0.06339,21.454689115649998,30.76536869565217,14.632085093289989,0.41935724182235673,125
57.30174,0.05319,21.901233076499995,31.402569130434784,14.84996653665548,0.388528291736532,130
58.44974,0.05319,22.24741869195,31.89738608695651,15.344063515465864,0.398881829628883,135
60.74572,0.09402,22.8869899512,32.83573666666667,15.552475766601077,0.44011180468506955,140
61.92172,0.08381,23.29955785,33.42495188405796,16.035983491449077,0.4290238907400509,145
63.47572,0.08381,24.197505960500003,34.71649594202899,16.767797553169075,0.3294595696510343,150
